date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2020-08-06,AAPL,107.103,110.981,106.505,208683813.0,110.49,17849197.380190074,51.70631980737044,78.73363653369368,60.95693096646858,152554820.76666668,148694910.1
2020-08-06,GOOG,73.5875,75.1195,73.3,39907360.0,75.005,2223273.799784519,50.7816057871054,39.37316035942412,2.5348047936518547,35200720.0,34046830.0
2020-08-06,MSFT,204.223,208.113,203.475,33954968.914466,208.093,1576126.7194868699,49.053792511500646,-30.171915577622162,28.114444235401436,38255203.58613293,37325714.98728095
2020-08-07,AAPL,110.02,110.471,107.182,203797633.0,107.967,17946980.359038293,51.527918081021454,66.51333783833884,60.95693096646858,154622346.4,148644509.71666667
2020-08-07,GOOG,75.0,75.8423,74.082,31556520.0,74.7245,1542420.412862122,49.17585448476264,-33.19417692679238,8.081159070753523,35432288.0,33968577.0
2020-08-07,MSFT,206.627,207.458,202.868,28926296.089399,204.363,460602.01823537797,48.25978088224244,-65.46183696797965,25.962879255771696,38255775.047245994,37030848.833963044
2020-08-10,AAPL,109.431,110.57,106.897,218572454.0,109.557,18997676.49545732,52.04547844556605,85.69802025977374,59.1720915162871,154854790.16666666,149556719.35
2020-08-10,GOOG,74.359,75.2038,73.654,25790600.0,74.805,531454.7168156505,48.089714606619935,-85.75989717536076,4.323398563663137,33446842.666666668,33864061.333333336
2020-08-10,MSFT,203.591,203.794,198.465,38175959.863633,200.289,319226.1230832711,49.80576122820926,4.151985722628904,11.449806307261273,37633334.72270974,36939453.56849727
2020-08-11,AAPL,108.811,109.313,106.033,193359799.0,106.298,17593120.811197817,51.08262072600107,48.30755764270765,53.65060118216813,156810685.06666666,149921242.18333334
2020-08-11,GOOG,74.622,75.5,73.9,29087300.0,74.016,-3685.95052280277,48.759112832776964,-46.138885683041686,6.722566634120968,33209632.666666668,33779600.666666664
2020-08-11,MSFT,199.253,199.733,195.385,37895223.832868,195.601,182428.88507388532,49.75907986699931,-0.5974087312275832,2.6094478202051503,37971075.987413794,36761071.5981261
2020-08-12,AAPL,107.387,110.09,107.192,170764510.0,109.834,14489731.772765249,50.22125175981121,17.249060993564903,55.14634829070487,157684299.13333333,150441393.71666667
2020-08-12,GOOG,74.279,75.6193,74.2625,28753100.0,75.331,-449573.3312128596,48.693263663724906,-47.054190309203946,7.7188593887991725,32806482.0,33650831.0
2020-08-12,MSFT,197.437,202.233,196.919,29156021.409209,201.189,-623967.4759062231,48.301209737452204,-66.38830868280152,8.880695357005926,37753805.55079493,36633466.68636297
2020-08-13,AAPL,111.198,112.761,110.72,216183672.0,111.757,15516336.957963198,51.90756140202451,71.6537202382219,59.90144500206762,161085123.43333334,152296573.06666666
2020-08-13,GOOG,75.517,76.8625,75.4002,29104160.0,75.9225,-765787.2952577733,48.768448485068575,-40.76948498218767,17.53103237714388,32593176.0,33709017.333333336
2020-08-13,MSFT,201.413,203.278,200.193,23486788.625222,200.729,-1700892.6277226582,47.369835709475694,-104.45129602741893,11.429098648440927,37425509.9973724,36559213.189589016
2020-08-14,AAPL,111.591,111.747,109.863,170373871.0,111.661,12489508.791679561,50.13549022167516,10.013405936059451,54.29130586365982,162845410.06666666,153220299.46666667
2020-08-14,GOOG,75.783,76.095,75.144,27104000.0,75.3865,-1164362.4184493236,48.35084272861447,-61.123882745493695,14.84103921470641,32256989.333333332,33608959.0
2020-08-14,MSFT,200.767,201.559,199.596,18672813.5185,200.905,-2909272.7281430885,46.58083714770013,-132.87282896275786,9.557886015675434,37031901.1994819,36328693.62585535
2020-08-17,AAPL,112.78,112.81,110.739,123033978.0,111.375,6199348.317834616,48.37018263745279,-53.00857931654727,56.32314240836007,162869141.63333333,153506501.43333334
2020-08-17,GOOG,75.7335,76.2805,75.3985,27572000.0,75.899,-1426034.1058469303,48.45767339267651,-53.27464741931226,16.32332359268334,32133391.333333332,33606761.0
2020-08-17,MSFT,201.569,203.122,200.914,20987110.215834,202.233,-3638239.719495572,47.01969837344845,-109.33058885126397,13.617624057167538,36625952.35665813,36173861.67204128
2020-08-18,AAPL,111.118,112.721,110.787,108701553.0,112.288,57190.10315772891,47.842581901178235,-71.4195224541472,56.32314240836007,162629250.23333332,153912682.76666668
2020-08-18,GOOG,76.309,78.1235,76.1855,40541720.0,77.93,-580179.5310216509,51.342943805998964,89.43403192609485,29.37851240361394,32512667.333333332,33845987.0
2020-08-18,MSFT,202.476,204.243,201.209,22184290.362501,203.415,-4072405.098701928,47.25159965839764,-94.61551847056114,16.491501936440226,36200882.756026134,36182686.88132477
2020-08-19,AAPL,112.701,113.861,112.337,149765002.0,112.435,-1479990.5207258463,49.47595275285898,-18.664189660040005,58.57948196970686,163597752.33333334,154252093.53333333
2020-08-19,GOOG,77.6655,78.684,77.1975,33212220.0,77.3765,-495548.2755127214,49.715952349088596,4.868198803634508,32.78762955233038,32786636.0,33712643.0
2020-08-19,MSFT,203.914,204.492,201.727,28656498.530772,202.166,-3849854.580451034,48.512006987662716,-48.68813281378141,17.14600853616877,35991577.965175994,36035169.3055487
